finding_id,provider,resource_id,region,control_domain,framework,severity,compliance_status,owner,age_days,remediation_status,mfa_enabled,public_exposure,encryption_enabled,severity_rank,is_noncompliant,is_high_risk,is_open_risk,risk_score
FND-0186,AWS,AWS-RES-0186,us-east-1,Data Protection,ISO 27001,Critical,Compliant,IAM,228,Not Required,,,1.0,4,0,1,0,6.53
FND-0187,Azure,Azure-RES-0187,UK South,Configuration,CIS,High,Compliant,Security,101,Not Required,,,,3,0,1,0,4.12
FND-0188,AWS,AWS-RES-0188,us-east-1,Logging & Monitoring,ISO 27001,Medium,Compliant,Security,24,Not Required,,,,2,0,0,0,2.27
FND-0189,AWS,AWS-RES-0189,us-east-1,Data Protection,ISO 27001,High,Exception,Security,353,Open,,,1.0,3,0,1,1,6.0
FND-0190,AWS,AWS-RES-0190,us-east-1,Network Security,CIS,High,Compliant,Platform,32,Not Required,,0.0,,3,0,1,0,3.36
FND-0191,AWS,AWS-RES-0191,eu-west-1,Network Security,CIS,High,Compliant,Security,272,Not Required,,0.0,,3,0,1,0,6.0
FND-0192,AWS,AWS-RES-0192,eu-west-2,Logging & Monitoring,ISO 27001,Medium,Compliant,Cloud Ops,87,Not Required,,,,2,0,0,0,2.97
FND-0193,AWS,AWS-RES-0193,eu-west-1,Logging & Monitoring,ISO 27001,Medium,Non-Compliant,Network,285,Remediated,,,,2,1,0,0,7.0
FND-0194,AWS,AWS-RES-0194,us-east-1,Network Security,CIS,Medium,Compliant,Platform,179,Not Required,,0.0,,2,0,0,0,3.99
FND-0195,AWS,AWS-RES-0195,us-east-1,Network Security,CIS,Medium,Compliant,IAM,59,Not Required,,0.0,,2,0,0,0,2.66
FND-0196,AWS,AWS-RES-0196,eu-west-2,Configuration,CIS,High,Compliant,Cloud Ops,228,Not Required,,,,3,0,1,0,5.53
FND-0197,AWS,AWS-RES-0197,eu-west-1,Data Protection,NIST,Critical,Compliant,Cloud Ops,160,Not Required,,,1.0,4,0,1,0,5.78
FND-0198,Azure,Azure-RES-0198,West Europe,Identity & Access,ISO 27001,Medium,Non-Compliant,Security,49,Remediated,1.0,,,2,1,0,0,4.54
FND-0199,AWS,AWS-RES-0199,eu-west-2,Logging & Monitoring,NIST,Medium,Compliant,Security,267,Not Required,,,,2,0,0,0,4.97
FND-0200,AWS,AWS-RES-0200,eu-west-1,Configuration,ISO 27001,High,Exception,Cloud Ops,266,Open,,,,3,0,1,1,5.96
FND-0201,AWS,AWS-RES-0201,us-east-1,Identity & Access,ISO 27001,Medium,Compliant,Platform,59,Not Required,0.0,,,2,0,0,0,2.66
FND-0202,AWS,AWS-RES-0202,eu-west-2,Configuration,CIS,High,Compliant,Security,138,Not Required,,,,3,0,1,0,4.53
FND-0203,AWS,AWS-RES-0203,eu-west-1,Identity & Access,ISO 27001,Low,Compliant,Network,229,Not Required,0.0,,,1,0,0,0,3.54
FND-0204,AWS,AWS-RES-0204,eu-west-1,Network Security,ISO 27001,Medium,Exception,Cloud Ops,67,Remediated,,1.0,,2,0,0,0,2.74
FND-0205,Azure,Azure-RES-0205,West Europe,Network Security,ISO 27001,Medium,Compliant,Platform,301,Not Required,,0.0,,2,0,0,0,5.0
FND-0206,Azure,Azure-RES-0206,East US,Network Security,ISO 27001,High,Exception,Cloud Ops,291,Open,,0.0,,3,0,1,1,6.0
FND-0207,AWS,AWS-RES-0207,us-east-1,Data Protection,CIS,Medium,Compliant,IAM,106,Not Required,,,1.0,2,0,0,0,3.18
FND-0208,Azure,Azure-RES-0208,East US,Data Protection,ISO 27001,High,Non-Compliant,Security,338,In Progress,,,1.0,3,1,1,1,9.0
FND-0209,AWS,AWS-RES-0209,us-east-1,Configuration,ISO 27001,High,Compliant,Cloud Ops,232,Not Required,,,,3,0,1,0,5.58
FND-0210,Azure,Azure-RES-0210,East US,Logging & Monitoring,ISO 27001,Medium,Non-Compliant,Cloud Ops,251,Accepted Risk,,,,2,1,0,0,6.79
FND-0211,Azure,Azure-RES-0211,UK South,Logging & Monitoring,CIS,Low,Non-Compliant,Platform,189,Remediated,,,,1,1,0,0,4.1
FND-0212,AWS,AWS-RES-0212,eu-west-2,Network Security,NIST,Medium,Compliant,Security,232,Not Required,,0.0,,2,0,0,0,4.58
FND-0213,Azure,Azure-RES-0213,East US,Backup & Recovery,CIS,Critical,Non-Compliant,Platform,5,Remediated,,,,4,1,1,0,8.06
FND-0214,AWS,AWS-RES-0214,eu-west-2,Identity & Access,CIS,Medium,Non-Compliant,Cloud Ops,178,In Progress,1.0,,,2,1,0,1,5.98
FND-0215,AWS,AWS-RES-0215,us-east-1,Identity & Access,ISO 27001,Low,Compliant,Cloud Ops,51,Not Required,1.0,,,1,0,0,0,1.57
FND-0216,AWS,AWS-RES-0216,eu-west-2,Backup & Recovery,ISO 27001,Medium,Compliant,Platform,233,Not Required,,,,2,0,0,0,4.59
FND-0217,Azure,Azure-RES-0217,UK South,Logging & Monitoring,CIS,Medium,Non-Compliant,Network,56,Open,,,,2,1,0,1,4.62
FND-0218,AWS,AWS-RES-0218,eu-west-1,Configuration,NIST,Medium,Compliant,IAM,184,Not Required,,,,2,0,0,0,4.04
FND-0219,Azure,Azure-RES-0219,West Europe,Configuration,CIS,Low,Compliant,Platform,237,Not Required,,,,1,0,0,0,3.63
FND-0220,Azure,Azure-RES-0220,East US,Identity & Access,CIS,Medium,Compliant,Security,109,Not Required,1.0,,,2,0,0,0,3.21
FND-0221,Azure,Azure-RES-0221,UK South,Data Protection,ISO 27001,Medium,Non-Compliant,IAM,32,In Progress,,,1.0,2,1,0,1,4.36
FND-0222,Azure,Azure-RES-0222,UK South,Identity & Access,NIST,High,Compliant,Network,4,Not Required,1.0,,,3,0,1,0,3.04
FND-0223,AWS,AWS-RES-0223,us-east-1,Configuration,CIS,High,Non-Compliant,Network,177,Remediated,,,,3,1,1,0,7.97
FND-0224,AWS,AWS-RES-0224,us-east-1,Network Security,CIS,Low,Compliant,IAM,294,Not Required,,0.0,,1,0,0,0,4.0
FND-0225,AWS,AWS-RES-0225,us-east-1,Backup & Recovery,CIS,High,Compliant,Security,49,Not Required,,,,3,0,1,0,3.54
FND-0226,Azure,Azure-RES-0226,UK South,Logging & Monitoring,ISO 27001,Medium,Compliant,IAM,72,Not Required,,,,2,0,0,0,2.8
FND-0227,AWS,AWS-RES-0227,eu-west-1,Backup & Recovery,ISO 27001,Critical,Compliant,Cloud Ops,87,Not Required,,,,4,0,1,0,4.97
FND-0228,Azure,Azure-RES-0228,UK South,Configuration,NIST,Critical,Compliant,Platform,245,Not Required,,,,4,0,1,0,6.72
FND-0229,Azure,Azure-RES-0229,East US,Network Security,NIST,High,Compliant,Network,359,Not Required,,0.0,,3,0,1,0,6.0
FND-0230,AWS,AWS-RES-0230,us-east-1,Identity & Access,CIS,Medium,Compliant,Security,84,Not Required,1.0,,,2,0,0,0,2.93
FND-0231,AWS,AWS-RES-0231,eu-west-2,Logging & Monitoring,CIS,Medium,Compliant,Cloud Ops,31,Not Required,,,,2,0,0,0,2.34
FND-0232,AWS,AWS-RES-0232,us-east-1,Logging & Monitoring,CIS,Medium,Compliant,Network,86,Not Required,,,,2,0,0,0,2.96
FND-0233,AWS,AWS-RES-0233,eu-west-1,Backup & Recovery,ISO 27001,Critical,Exception,Security,117,Accepted Risk,,,,4,0,1,0,5.3
FND-0234,Azure,Azure-RES-0234,East US,Network Security,NIST,Medium,Compliant,Cloud Ops,45,Not Required,,0.0,,2,0,0,0,2.5
FND-0235,AWS,AWS-RES-0235,eu-west-1,Network Security,ISO 27001,Critical,Compliant,IAM,326,Not Required,,0.0,,4,0,1,0,7.0
FND-0236,AWS,AWS-RES-0236,us-east-1,Data Protection,NIST,Medium,Compliant,IAM,126,Not Required,,,0.0,2,0,0,0,3.4
FND-0237,Azure,Azure-RES-0237,East US,Configuration,ISO 27001,Low,Non-Compliant,IAM,96,Open,,,,1,1,0,1,3.07
FND-0238,AWS,AWS-RES-0238,eu-west-2,Data Protection,ISO 27001,High,Compliant,IAM,233,Not Required,,,1.0,3,0,1,0,5.59
FND-0239,AWS,AWS-RES-0239,eu-west-2,Logging & Monitoring,CIS,Medium,Compliant,IAM,66,Not Required,,,,2,0,0,0,2.73
FND-0240,AWS,AWS-RES-0240,eu-west-2,Logging & Monitoring,CIS,Medium,Non-Compliant,IAM,99,Remediated,,,,2,1,0,0,5.1
FND-0241,AWS,AWS-RES-0241,us-east-1,Backup & Recovery,ISO 27001,Medium,Compliant,Network,104,Not Required,,,,2,0,0,0,3.16
FND-0242,Azure,Azure-RES-0242,UK South,Data Protection,NIST,High,Compliant,Cloud Ops,284,Not Required,,,1.0,3,0,1,0,6.0
FND-0243,Azure,Azure-RES-0243,West Europe,Backup & Recovery,CIS,Medium,Non-Compliant,IAM,109,In Progress,,,,2,1,0,1,5.21
FND-0244,AWS,AWS-RES-0244,us-east-1,Configuration,NIST,Medium,Compliant,Platform,200,Not Required,,,,2,0,0,0,4.22
FND-0245,Azure,Azure-RES-0245,East US,Identity & Access,CIS,High,Compliant,Network,356,Not Required,1.0,,,3,0,1,0,6.0
FND-0246,Azure,Azure-RES-0246,UK South,Data Protection,NIST,Medium,Compliant,Network,85,Not Required,,,1.0,2,0,0,0,2.94
FND-0247,AWS,AWS-RES-0247,eu-west-2,Network Security,ISO 27001,Critical,Non-Compliant,Security,176,Accepted Risk,,0.0,,4,1,1,0,9.96
FND-0248,Azure,Azure-RES-0248,East US,Configuration,CIS,Medium,Compliant,IAM,185,Not Required,,,,2,0,0,0,4.06
FND-0249,Azure,Azure-RES-0249,West Europe,Network Security,CIS,Medium,Exception,Security,223,In Progress,,1.0,,2,0,0,1,4.48
FND-0250,AWS,AWS-RES-0250,eu-west-2,Configuration,CIS,High,Compliant,IAM,88,Not Required,,,,3,0,1,0,3.98
FND-0251,Azure,Azure-RES-0251,West Europe,Identity & Access,ISO 27001,High,Exception,Platform,9,In Progress,1.0,,,3,0,1,1,3.1
FND-0252,AWS,AWS-RES-0252,us-east-1,Identity & Access,CIS,Medium,Compliant,Cloud Ops,268,Not Required,1.0,,,2,0,0,0,4.98
FND-0253,Azure,Azure-RES-0253,UK South,Identity & Access,CIS,Medium,Compliant,Security,247,Not Required,1.0,,,2,0,0,0,4.74
FND-0254,Azure,Azure-RES-0254,West Europe,Data Protection,CIS,Medium,Compliant,Network,103,Not Required,,,1.0,2,0,0,0,3.14
FND-0255,Azure,Azure-RES-0255,UK South,Logging & Monitoring,ISO 27001,Medium,Compliant,Platform,107,Not Required,,,,2,0,0,0,3.19
FND-0256,Azure,Azure-RES-0256,West Europe,Backup & Recovery,ISO 27001,Low,Compliant,Security,166,Not Required,,,,1,0,0,0,2.84
FND-0257,Azure,Azure-RES-0257,West Europe,Identity & Access,CIS,Critical,Compliant,Security,231,Not Required,1.0,,,4,0,1,0,6.57
FND-0258,Azure,Azure-RES-0258,UK South,Logging & Monitoring,NIST,Critical,Non-Compliant,IAM,21,Open,,,,4,1,1,1,8.23
FND-0259,Azure,Azure-RES-0259,East US,Logging & Monitoring,ISO 27001,Critical,Compliant,IAM,278,Not Required,,,,4,0,1,0,7.0
FND-0260,Azure,Azure-RES-0260,East US,Logging & Monitoring,CIS,Medium,Compliant,Network,279,Not Required,,,,2,0,0,0,5.0
FND-0261,AWS,AWS-RES-0261,eu-west-1,Logging & Monitoring,CIS,Critical,Non-Compliant,Platform,209,Open,,,,4,1,1,1,10.32
FND-0262,AWS,AWS-RES-0262,eu-west-2,Configuration,CIS,High,Compliant,Security,212,Not Required,,,,3,0,1,0,5.36
FND-0263,AWS,AWS-RES-0263,us-east-1,Identity & Access,CIS,Medium,Compliant,IAM,231,Not Required,1.0,,,2,0,0,0,4.57
FND-0264,Azure,Azure-RES-0264,East US,Identity & Access,ISO 27001,Medium,Compliant,Platform,55,Not Required,1.0,,,2,0,0,0,2.61
FND-0265,Azure,Azure-RES-0265,East US,Data Protection,CIS,Critical,Compliant,Network,196,Not Required,,,1.0,4,0,1,0,6.18
FND-0266,Azure,Azure-RES-0266,East US,Configuration,ISO 27001,Medium,Compliant,IAM,317,Not Required,,,,2,0,0,0,5.0
FND-0267,AWS,AWS-RES-0267,us-east-1,Network Security,ISO 27001,Medium,Compliant,IAM,2,Not Required,,0.0,,2,0,0,0,2.02
FND-0268,Azure,Azure-RES-0268,UK South,Logging & Monitoring,CIS,Critical,Compliant,Cloud Ops,24,Not Required,,,,4,0,1,0,4.27
FND-0269,AWS,AWS-RES-0269,us-east-1,Network Security,ISO 27001,Low,Compliant,Platform,293,Not Required,,0.0,,1,0,0,0,4.0
FND-0270,Azure,Azure-RES-0270,West Europe,Identity & Access,NIST,Medium,Compliant,IAM,261,Not Required,0.0,,,2,0,0,0,4.9
FND-0271,Azure,Azure-RES-0271,West Europe,Data Protection,ISO 27001,Medium,Compliant,IAM,125,Not Required,,,0.0,2,0,0,0,3.39
FND-0272,Azure,Azure-RES-0272,UK South,Data Protection,ISO 27001,Medium,Compliant,Network,103,Not Required,,,1.0,2,0,0,0,3.14
FND-0273,AWS,AWS-RES-0273,eu-west-1,Network Security,CIS,Medium,Compliant,IAM,274,Not Required,,1.0,,2,0,0,0,5.0
FND-0274,AWS,AWS-RES-0274,us-east-1,Identity & Access,NIST,Medium,Compliant,Network,154,Not Required,1.0,,,2,0,0,0,3.71
FND-0275,AWS,AWS-RES-0275,eu-west-1,Network Security,ISO 27001,Critical,Compliant,Cloud Ops,139,Not Required,,0.0,,4,0,1,0,5.54
FND-0276,AWS,AWS-RES-0276,eu-west-1,Network Security,NIST,High,Compliant,IAM,299,Not Required,,0.0,,3,0,1,0,6.0
FND-0277,Azure,Azure-RES-0277,UK South,Identity & Access,NIST,Medium,Compliant,Security,325,Not Required,1.0,,,2,0,0,0,5.0
FND-0278,Azure,Azure-RES-0278,UK South,Configuration,CIS,Low,Compliant,Platform,264,Not Required,,,,1,0,0,0,3.93
FND-0279,AWS,AWS-RES-0279,us-east-1,Identity & Access,CIS,High,Compliant,IAM,149,Not Required,1.0,,,3,0,1,0,4.66
FND-0280,AWS,AWS-RES-0280,us-east-1,Network Security,CIS,Low,Exception,Network,203,Open,,0.0,,1,0,0,1,3.26
FND-0281,AWS,AWS-RES-0281,eu-west-2,Configuration,NIST,Medium,Compliant,Cloud Ops,167,Not Required,,,,2,0,0,0,3.86
FND-0282,AWS,AWS-RES-0282,eu-west-1,Logging & Monitoring,CIS,Medium,Compliant,Platform,29,Not Required,,,,2,0,0,0,2.32
FND-0283,Azure,Azure-RES-0283,West Europe,Configuration,CIS,Medium,Compliant,Cloud Ops,122,Not Required,,,,2,0,0,0,3.36
FND-0284,AWS,AWS-RES-0284,eu-west-2,Network Security,CIS,Medium,Compliant,Platform,241,Not Required,,0.0,,2,0,0,0,4.68
FND-0285,Azure,Azure-RES-0285,West Europe,Identity & Access,CIS,High,Compliant,IAM,339,Not Required,1.0,,,3,0,1,0,6.0
FND-0286,Azure,Azure-RES-0286,East US,Logging & Monitoring,CIS,Medium,Compliant,Network,317,Not Required,,,,2,0,0,0,5.0
FND-0287,AWS,AWS-RES-0287,eu-west-2,Network Security,ISO 27001,Medium,Compliant,Cloud Ops,364,Not Required,,0.0,,2,0,0,0,5.0
FND-0288,AWS,AWS-RES-0288,eu-west-2,Identity & Access,NIST,Medium,Compliant,Platform,225,Not Required,1.0,,,2,0,0,0,4.5
FND-0289,Azure,Azure-RES-0289,East US,Backup & Recovery,ISO 27001,Medium,Compliant,Cloud Ops,204,Not Required,,,,2,0,0,0,4.27
FND-0290,AWS,AWS-RES-0290,us-east-1,Configuration,NIST,Medium,Compliant,IAM,291,Not Required,,,,2,0,0,0,5.0
FND-0291,Azure,Azure-RES-0291,West Europe,Backup & Recovery,CIS,High,Non-Compliant,IAM,19,Remediated,,,,3,1,1,0,6.21
FND-0292,AWS,AWS-RES-0292,eu-west-2,Identity & Access,CIS,Medium,Non-Compliant,Network,342,In Progress,1.0,,,2,1,0,1,7.0
FND-0293,AWS,AWS-RES-0293,eu-west-2,Logging & Monitoring,CIS,Critical,Compliant,Platform,246,Not Required,,,,4,0,1,0,6.73
FND-0294,AWS,AWS-RES-0294,us-east-1,Identity & Access,ISO 27001,Medium,Compliant,Cloud Ops,145,Not Required,1.0,,,2,0,0,0,3.61
FND-0295,AWS,AWS-RES-0295,eu-west-1,Data Protection,NIST,Medium,Exception,Network,292,Open,,,1.0,2,0,0,1,5.0
FND-0296,AWS,AWS-RES-0296,us-east-1,Identity & Access,NIST,Medium,Compliant,Cloud Ops,253,Not Required,1.0,,,2,0,0,0,4.81
FND-0297,Azure,Azure-RES-0297,East US,Data Protection,CIS,High,Exception,IAM,182,Open,,,1.0,3,0,1,1,5.02
FND-0298,AWS,AWS-RES-0298,eu-west-1,Data Protection,NIST,Medium,Compliant,Cloud Ops,221,Not Required,,,1.0,2,0,0,0,4.46
FND-0299,Azure,Azure-RES-0299,UK South,Logging & Monitoring,CIS,Critical,Exception,Platform,316,In Progress,,,,4,0,1,1,7.0
FND-0300,AWS,AWS-RES-0300,eu-west-1,Identity & Access,ISO 27001,Medium,Compliant,Network,286,Not Required,1.0,,,2,0,0,0,5.0
FND-0301,Azure,Azure-RES-0301,West Europe,Network Security,CIS,High,Compliant,Cloud Ops,116,Not Required,,0.0,,3,0,1,0,4.29
FND-0302,AWS,AWS-RES-0302,eu-west-1,Data Protection,NIST,Critical,Non-Compliant,IAM,206,In Progress,,,1.0,4,1,1,1,10.29
FND-0303,AWS,AWS-RES-0303,us-east-1,Configuration,CIS,Low,Compliant,Cloud Ops,44,Not Required,,,,1,0,0,0,1.49
FND-0304,AWS,AWS-RES-0304,us-east-1,Backup & Recovery,ISO 27001,Low,Non-Compliant,Network,69,Remediated,,,,1,1,0,0,2.77
FND-0305,Azure,Azure-RES-0305,UK South,Backup & Recovery,ISO 27001,Medium,Compliant,Platform,78,Not Required,,,,2,0,0,0,2.87
FND-0306,Azure,Azure-RES-0306,UK South,Backup & Recovery,CIS,Medium,Compliant,Security,21,Not Required,,,,2,0,0,0,2.23
FND-0307,Azure,Azure-RES-0307,UK South,Logging & Monitoring,ISO 27001,Medium,Non-Compliant,Platform,253,In Progress,,,,2,1,0,1,6.81
FND-0308,AWS,AWS-RES-0308,eu-west-2,Data Protection,ISO 27001,High,Non-Compliant,Network,112,In Progress,,,1.0,3,1,1,1,7.24
FND-0309,Azure,Azure-RES-0309,East US,Data Protection,CIS,Medium,Compliant,Network,134,Not Required,,,1.0,2,0,0,0,3.49
FND-0310,AWS,AWS-RES-0310,us-east-1,Backup & Recovery,NIST,High,Compliant,IAM,363,Not Required,,,,3,0,1,0,6.0
FND-0311,AWS,AWS-RES-0311,eu-west-1,Logging & Monitoring,NIST,Medium,Non-Compliant,Network,205,Open,,,,2,1,0,1,6.28
FND-0312,Azure,Azure-RES-0312,West Europe,Network Security,CIS,Medium,Compliant,Network,181,Not Required,,0.0,,2,0,0,0,4.01
FND-0313,AWS,AWS-RES-0313,eu-west-1,Logging & Monitoring,CIS,Medium,Compliant,Platform,358,Not Required,,,,2,0,0,0,5.0
FND-0314,Azure,Azure-RES-0314,UK South,Data Protection,ISO 27001,Medium,Non-Compliant,Network,184,Remediated,,,1.0,2,1,0,0,6.04
FND-0315,AWS,AWS-RES-0315,eu-west-2,Identity & Access,CIS,High,Compliant,Network,234,Not Required,1.0,,,3,0,1,0,5.6
FND-0316,AWS,AWS-RES-0316,eu-west-1,Data Protection,ISO 27001,High,Non-Compliant,Cloud Ops,157,Open,,,1.0,3,1,1,1,7.74
FND-0317,AWS,AWS-RES-0317,eu-west-1,Configuration,CIS,Medium,Non-Compliant,Platform,249,Remediated,,,,2,1,0,0,6.77
FND-0318,AWS,AWS-RES-0318,us-east-1,Data Protection,CIS,High,Compliant,Platform,163,Not Required,,,1.0,3,0,1,0,4.81
FND-0319,AWS,AWS-RES-0319,eu-west-1,Network Security,ISO 27001,High,Exception,Security,46,In Progress,,0.0,,3,0,1,1,3.51
FND-0320,Azure,Azure-RES-0320,UK South,Identity & Access,ISO 27001,High,Non-Compliant,IAM,12,In Progress,1.0,,,3,1,1,1,6.13
FND-0321,AWS,AWS-RES-0321,us-east-1,Network Security,CIS,Medium,Compliant,Cloud Ops,103,Not Required,,0.0,,2,0,0,0,3.14
FND-0322,Azure,Azure-RES-0322,West Europe,Backup & Recovery,CIS,Medium,Compliant,Network,118,Not Required,,,,2,0,0,0,3.31
FND-0323,Azure,Azure-RES-0323,East US,Data Protection,CIS,Critical,Compliant,Cloud Ops,251,Not Required,,,1.0,4,0,1,0,6.79
FND-0324,AWS,AWS-RES-0324,us-east-1,Identity & Access,CIS,Low,Non-Compliant,Cloud Ops,327,Accepted Risk,1.0,,,1,1,0,0,5.0
FND-0325,Azure,Azure-RES-0325,UK South,Data Protection,CIS,Critical,Compliant,Platform,255,Not Required,,,1.0,4,0,1,0,6.83
FND-0326,AWS,AWS-RES-0326,eu-west-2,Configuration,CIS,Medium,Compliant,Platform,130,Not Required,,,,2,0,0,0,3.44
FND-0327,Azure,Azure-RES-0327,East US,Data Protection,ISO 27001,Low,Compliant,Network,182,Not Required,,,1.0,1,0,0,0,3.02
FND-0328,Azure,Azure-RES-0328,UK South,Configuration,NIST,Medium,Compliant,Platform,308,Not Required,,,,2,0,0,0,5.0
FND-0329,Azure,Azure-RES-0329,East US,Logging & Monitoring,CIS,Medium,Compliant,IAM,351,Not Required,,,,2,0,0,0,5.0
FND-0330,AWS,AWS-RES-0330,us-east-1,Data Protection,ISO 27001,High,Compliant,Security,333,Not Required,,,1.0,3,0,1,0,6.0
FND-0331,Azure,Azure-RES-0331,East US,Identity & Access,CIS,Medium,Compliant,Security,267,Not Required,0.0,,,2,0,0,0,4.97
FND-0332,Azure,Azure-RES-0332,UK South,Configuration,NIST,High,Compliant,Network,59,Not Required,,,,3,0,1,0,3.66
FND-0333,Azure,Azure-RES-0333,West Europe,Identity & Access,CIS,High,Compliant,Security,225,Not Required,1.0,,,3,0,1,0,5.5
FND-0334,Azure,Azure-RES-0334,UK South,Data Protection,ISO 27001,Medium,Compliant,Network,243,Not Required,,,1.0,2,0,0,0,4.7
FND-0335,AWS,AWS-RES-0335,eu-west-2,Logging & Monitoring,CIS,Critical,Non-Compliant,Security,297,Open,,,,4,1,1,1,11.0
FND-0336,Azure,Azure-RES-0336,West Europe,Backup & Recovery,ISO 27001,Medium,Compliant,Security,249,Not Required,,,,2,0,0,0,4.77
FND-0337,AWS,AWS-RES-0337,us-east-1,Data Protection,ISO 27001,Medium,Compliant,Network,227,Not Required,,,1.0,2,0,0,0,4.52
FND-0338,AWS,AWS-RES-0338,eu-west-1,Network Security,CIS,Medium,Non-Compliant,Platform,253,Open,,0.0,,2,1,0,1,6.81
FND-0339,AWS,AWS-RES-0339,eu-west-1,Backup & Recovery,CIS,Low,Non-Compliant,Network,77,Open,,,,1,1,0,1,2.86
FND-0340,AWS,AWS-RES-0340,eu-west-1,Configuration,CIS,Low,Non-Compliant,Platform,92,In Progress,,,,1,1,0,1,3.02
FND-0341,AWS,AWS-RES-0341,us-east-1,Network Security,NIST,High,Compliant,Cloud Ops,337,Not Required,,0.0,,3,0,1,0,6.0
FND-0342,AWS,AWS-RES-0342,us-east-1,Network Security,NIST,Low,Compliant,Platform,304,Not Required,,0.0,,1,0,0,0,4.0
FND-0343,AWS,AWS-RES-0343,eu-west-1,Backup & Recovery,CIS,Medium,Compliant,IAM,274,Not Required,,,,2,0,0,0,5.0
FND-0344,AWS,AWS-RES-0344,eu-west-2,Logging & Monitoring,CIS,Low,Compliant,Cloud Ops,84,Not Required,,,,1,0,0,0,1.93
FND-0345,AWS,AWS-RES-0345,eu-west-1,Logging & Monitoring,CIS,Medium,Non-Compliant,Platform,74,Open,,,,2,1,0,1,4.82
FND-0346,Azure,Azure-RES-0346,East US,Identity & Access,ISO 27001,Critical,Compliant,IAM,153,Not Required,1.0,,,4,0,1,0,5.7
FND-0347,AWS,AWS-RES-0347,us-east-1,Configuration,NIST,High,Non-Compliant,Platform,72,Remediated,,,,3,1,1,0,6.8
FND-0348,AWS,AWS-RES-0348,eu-west-1,Logging & Monitoring,CIS,Low,Compliant,IAM,88,Not Required,,,,1,0,0,0,1.98
FND-0349,Azure,Azure-RES-0349,East US,Data Protection,CIS,Medium,Compliant,IAM,143,Not Required,,,1.0,2,0,0,0,3.59
FND-0350,Azure,Azure-RES-0350,UK South,Network Security,ISO 27001,Critical,Compliant,Platform,344,Not Required,,0.0,,4,0,1,0,7.0
FND-0351,Azure,Azure-RES-0351,UK South,Network Security,CIS,Low,Compliant,Security,312,Not Required,,0.0,,1,0,0,0,4.0
FND-0352,AWS,AWS-RES-0352,eu-west-2,Data Protection,CIS,Medium,Non-Compliant,Cloud Ops,321,Accepted Risk,,,1.0,2,1,0,0,7.0
FND-0353,AWS,AWS-RES-0353,eu-west-2,Logging & Monitoring,CIS,Critical,Non-Compliant,Platform,325,Open,,,,4,1,1,1,11.0
FND-0354,AWS,AWS-RES-0354,eu-west-2,Logging & Monitoring,CIS,Critical,Compliant,Security,269,Not Required,,,,4,0,1,0,6.99
FND-0355,Azure,Azure-RES-0355,East US,Configuration,NIST,Low,Non-Compliant,Cloud Ops,59,Remediated,,,,1,1,0,0,2.66
FND-0356,Azure,Azure-RES-0356,East US,Data Protection,ISO 27001,High,Compliant,Platform,345,Not Required,,,1.0,3,0,1,0,6.0
FND-0357,Azure,Azure-RES-0357,UK South,Identity & Access,NIST,Critical,Non-Compliant,Cloud Ops,50,Open,0.0,,,4,1,1,1,8.56
FND-0358,AWS,AWS-RES-0358,eu-west-2,Configuration,ISO 27001,High,Compliant,Network,37,Not Required,,,,3,0,1,0,3.41
FND-0359,AWS,AWS-RES-0359,eu-west-1,Logging & Monitoring,ISO 27001,Low,Compliant,Security,346,Not Required,,,,1,0,0,0,4.0
FND-0360,AWS,AWS-RES-0360,eu-west-2,Configuration,CIS,Low,Compliant,Network,307,Not Required,,,,1,0,0,0,4.0
FND-0361,AWS,AWS-RES-0361,eu-west-1,Identity & Access,CIS,High,Compliant,IAM,55,Not Required,1.0,,,3,0,1,0,3.61
FND-0362,Azure,Azure-RES-0362,West Europe,Configuration,ISO 27001,Critical,Compliant,IAM,167,Not Required,,,,4,0,1,0,5.86
FND-0363,Azure,Azure-RES-0363,East US,Logging & Monitoring,NIST,Medium,Compliant,Network,90,Not Required,,,,2,0,0,0,3.0
FND-0364,AWS,AWS-RES-0364,us-east-1,Identity & Access,CIS,Critical,Compliant,Platform,142,Not Required,0.0,,,4,0,1,0,5.58
FND-0365,AWS,AWS-RES-0365,eu-west-2,Identity & Access,ISO 27001,Medium,Compliant,Security,250,Not Required,1.0,,,2,0,0,0,4.78
FND-0366,Azure,Azure-RES-0366,UK South,Identity & Access,ISO 27001,High,Exception,Security,152,In Progress,1.0,,,3,0,1,1,4.69
FND-0367,AWS,AWS-RES-0367,eu-west-1,Logging & Monitoring,ISO 27001,Medium,Non-Compliant,Platform,313,In Progress,,,,2,1,0,1,7.0
FND-0368,Azure,Azure-RES-0368,East US,Network Security,NIST,High,Compliant,IAM,178,Not Required,,0.0,,3,0,1,0,4.98
FND-0369,Azure,Azure-RES-0369,East US,Identity & Access,CIS,Critical,Compliant,Security,9,Not Required,1.0,,,4,0,1,0,4.1
FND-0370,Azure,Azure-RES-0370,UK South,Logging & Monitoring,NIST,High,Non-Compliant,Network,20,In Progress,,,,3,1,1,1,6.22
FND-0371,Azure,Azure-RES-0371,UK South,Network Security,ISO 27001,High,Exception,Platform,288,Remediated,,0.0,,3,0,1,0,6.0
FND-0372,AWS,AWS-RES-0372,us-east-1,Network Security,CIS,Medium,Exception,Security,138,Open,,0.0,,2,0,0,1,3.53
